MonthsInService,MonthlyMinutes,BlockedCalls,DroppedCalls,CustomerCareCalls,RetentionCalls,IncomeGroup,CreditRating,CurrentEquipmentDays,HandsetRefurbished,Churn
26,312.0,0.3,0.0,1.3,0,0,1,511.0,0,0
21,46.0,1.7,0.0,0.0,0,6,1,623.0,0,1
27,76.0,2.3,0.0,0.0,0,5,0,836.0,0,1
19,808.0,2.3,5.0,2.7,0,7,2,363.0,1,0
15,138.0,0.0,0.0,0.0,0,0,1,429.0,1,0
41,241.0,0.0,5.7,0.0,0,6,0,579.0,0,0
11,473.0,0.3,1.0,1.3,0,1,3,221.0,0,1
28,497.0,22.7,1.7,4.3,1,6,0,453.0,0,0
28,183.0,0.0,0.3,15.3,0,5,1,134.0,0,0
13,608.0,1.7,2.3,0.0,0,7,3,182.0,1,1
10,322.0,1.0,4.3,5.0,0,6,1,282.0,1,0
11,1256.0,20.3,3.0,13.7,0,0,3,313.0,0,1
16,546.0,1.0,2.0,3.3,0,0,4,201.0,0,0
12,302.0,0.0,0.0,0.0,0,5,1,361.0,0,0
41,2327.0,0.0,18.7,0.0,1,9,2,203.0,1,0
35,10.0,0.0,0.7,0.0,0,5,0,975.0,0,1
13,631.0,3.7,12.0,5.7,0,7,1,408.0,0,0
8,3096.0,8.3,13.0,11.7,0,4,4,54.0,0,0
33,450.0,3.0,0.3,0.0,0,7,0,998.0,0,0
33,48.0,0.0,0.0,0.3,0,4,0,982.0,0,0
35,283.0,0.7,3.7,0.0,0,6,0,563.0,0,0
17,220.0,1.0,0.0,0.0,0,8,0,522.0,0,1
13,38.0,0.0,0.0,0.0,0,0,1,394.0,0,1
13,1838.0,1.0,5.3,11.3,0,0,2,243.0,1,0
23,1280.0,12.7,11.3,1.0,0,7,1,514.0,0,0
27,985.0,16.0,5.3,0.0,0,9,2,105.0,0,0
15,897.0,0.0,4.0,0.0,0,5,1,433.0,0,0
9,235.0,0.0,0.0,0.0,0,3,1,262.0,0,0
11,860.0,1.3,25.3,2.3,0,7,3,13.0,0,0
10,601.0,1.0,1.7,2.3,0,0,3,293.0,0,0
25,438.0,2.3,2.3,0.3,0,7,1,36.0,0,0
33,33.0,1.3,0.3,0.7,0,0,2,990.0,0,0
9,785.0,0.0,4.0,6.7,0,8,1,243.0,0,0
10,178.0,7.0,1.7,0.0,0,0,3,306.0,0,1
22,1299.0,0.7,5.7,13.0,0,0,4,667.0,0,0
48,2746.0,10.0,5.0,0.0,0,5,1,241.0,0,0
23,100.0,0.0,0.3,0.0,0,4,2,569.0,0,0
23,56.0,1.3,1.3,0.0,0,7,0,686.0,0,1
22,203.0,2.3,2.0,0.3,1,0,1,146.0,1,0
35,254.0,0.0,4.3,0.0,0,7,5,403.0,0,0
13,326.0,0.0,5.3,0.0,0,9,1,384.0,0,1
21,338.0,3.0,2.7,0.0,0,5,2,610.0,0,0
17,38.0,0.0,3.0,0.0,0,5,1,505.0,0,1
35,51.0,0.0,0.3,0.0,0,0,3,427.0,0,0
19,207.0,0.7,7.0,0.0,0,6,2,551.0,0,0
9,239.0,27.0,1.0,0.0,0,6,2,245.0,0,0
13,314.0,0.0,0.0,0.0,0,9,1,394.0,0,0
14,910.0,1.7,7.0,3.7,0,2,1,132.0,0,0
29,419.0,15.7,3.3,1.3,0,8,2,212.0,1,0
25,320.0,6.3,1.7,1.0,0,0,3,280.0,0,0
7,113.0,0.0,1.3,0.0,0,9,1,214.0,0,0
35,220.0,0.0,2.0,0.0,0,8,0,264.0,0,0
20,664.0,1.0,17.3,0.0,0,0,0,137.0,0,1
27,228.0,0.3,5.0,1.7,0,4,1,331.0,0,1
54,3.0,1.0,0.0,0.0,1,4,3,311.0,1,0
20,2.0,0.0,0.0,0.0,0,6,1,621.0,0,0
31,54.0,1.0,0.3,0.0,0,7,2,25.0,0,0
24,453.0,1.0,7.7,0.3,0,5,4,164.0,0,0
37,92.0,0.3,2.0,0.0,0,0,0,505.0,0,0
31,119.0,0.3,4.3,0.0,0,6,3,100.0,0,0
24,221.0,4.0,14.3,0.7,0,4,0,700.0,1,0
12,1159.0,25.7,22.3,17.7,0,0,4,125.0,0,1
29,830.0,15.3,7.0,0.0,0,0,0,358.0,0,0
33,25.0,0.0,0.7,0.0,0,7,0,986.0,0,1
12,879.0,4.7,9.0,1.0,0,0,4,219.0,1,1
11,319.0,0.0,0.0,0.0,0,7,1,339.0,0,0
10,485.0,2.0,7.3,3.3,0,2,4,46.0,0,0
12,254.0,1.0,1.3,0.0,0,9,0,358.0,0,0
18,735.0,5.7,3.0,7.0,0,0,4,467.0,0,0
25,247.0,0.0,3.0,0.0,0,6,4,167.0,0,0
8,280.0,2.0,0.0,0.0,0,0,4,225.0,0,0
37,283.0,6.3,4.3,0.0,0,6,2,1119.0,0,0
33,736.0,22.3,2.0,1.0,0,7,0,60.0,0,0
16,1168.0,35.3,4.7,0.0,0,9,1,333.0,1,0
8,201.0,9.7,0.0,0.0,0,8,1,228.0,0,0
9,1507.0,4.7,13.7,2.7,0,6,1,266.0,0,0
27,554.0,4.3,4.3,1.3,0,9,1,400.0,1,0
12,723.0,2.0,7.0,0.0,0,6,1,338.0,0,0
9,1237.0,28.7,6.3,5.3,0,4,2,176.0,1,0
19,67.0,0.0,0.0,0.0,0,5,1,344.0,0,1
12,216.0,0.0,0.0,0.0,0,6,3,345.0,0,0
12,1458.0,1.3,5.3,12.0,0,0,3,3.0,0,0
35,89.0,0.0,10.0,9.3,0,7,3,5.0,0,0
7,323.0,1.7,6.3,0.0,0,5,1,220.0,0,0
21,277.0,0.7,3.0,3.7,0,9,1,50.0,0,0
22,606.0,0.0,5.3,4.7,0,0,5,-1.0,0,0
13,184.0,0.0,0.0,0.0,0,7,2,386.0,0,0
6,220.0,1.0,0.3,0.0,0,9,1,164.0,1,0
27,601.0,3.0,18.3,0.7,0,4,4,202.0,0,0
10,170.0,0.0,3.0,6.3,0,0,4,280.0,1,1
18,56.0,0.0,0.7,0.0,0,3,1,105.0,0,0
31,84.0,0.7,1.3,0.0,0,6,0,917.0,0,0
28,690.0,1.7,12.0,2.0,0,9,3,524.0,0,0
21,168.0,0.7,7.7,0.0,1,7,4,626.0,0,0
32,510.0,0.3,7.7,0.0,0,8,0,520.0,0,0
7,1078.0,1.0,12.0,11.0,0,0,4,198.0,0,1
19,171.0,0.0,3.3,0.0,0,9,4,562.0,0,1
15,157.0,0.3,9.7,5.3,0,5,6,441.0,0,1
7,428.0,2.0,0.7,0.0,0,8,1,197.0,0,0
11,490.0,0.0,6.7,0.0,0,0,1,330.0,0,1
11,680.0,1.7,19.3,1.3,0,6,3,134.0,0,1
23,782.0,2.3,43.3,0.0,0,5,5,156.0,0,0
32,204.0,2.7,1.3,1.0,0,6,0,50.0,0,0
9,240.0,0.0,1.3,0.0,0,8,1,270.0,0,0
7,326.0,1.7,3.7,1.0,0,6,2,221.0,0,0
41,770.0,2.3,2.7,0.0,0,3,2,238.0,0,1
8,2409.0,0.0,5.3,37.3,0,0,4,232.0,0,0
14,861.0,5.7,15.0,0.3,0,4,2,419.0,1,0
21,396.0,1.3,2.7,0.0,0,9,1,608.0,0,1
16,185.0,1.3,4.7,0.3,0,0,1,14.0,0,0
53,94.0,0.0,0.7,0.0,0,6,0,1293.0,0,1
11,80.0,0.0,0.0,0.0,0,8,1,332.0,0,1
18,728.0,0.0,5.3,3.3,0,0,1,210.0,1,0
7,1370.0,48.3,34.7,1.7,0,0,4,212.0,0,0
31,62.0,0.3,0.0,0.0,0,8,2,625.0,0,0
14,545.0,2.7,3.7,0.0,0,6,1,411.0,0,0
31,298.0,8.0,5.0,0.0,0,0,2,456.0,0,0
14,0.0,0.0,0.0,0.0,0,0,0,420.0,0,1
21,0.0,0.0,0.0,0.0,0,5,1,636.0,0,0
23,346.0,1.0,6.7,10.7,0,5,1,118.0,0,0
39,123.0,0.3,0.0,0.0,0,5,3,111.0,1,0
25,328.0,0.0,0.0,0.0,0,3,1,312.0,0,1
8,2377.0,10.7,18.3,4.0,0,0,4,225.0,0,0
14,372.0,0.0,0.0,0.0,0,7,1,401.0,0,0
28,154.0,0.7,0.7,2.3,1,3,2,200.0,0,0
19,206.0,1.7,1.7,0.7,0,6,4,3.0,0,0
40,222.0,2.3,0.3,0.0,0,6,0,617.0,0,0
30,111.0,10.0,0.7,0.0,0,0,0,918.0,0,1
27,240.0,1.7,0.0,0.0,0,8,1,434.0,0,0
10,1542.0,0.0,0.0,0.0,0,3,3,316.0,0,1
31,414.0,0.3,3.7,0.0,0,4,0,469.0,0,0
19,52.0,0.0,0.0,0.0,0,0,2,562.0,0,0
16,459.0,1.3,2.7,3.3,0,7,1,467.0,0,1
31,448.0,3.7,1.7,2.3,0,8,0,214.0,0,0
29,725.0,2.7,2.0,1.0,0,0,1,860.0,0,0
