Account Length,Day Mins,VMail Message,Day Charge,Night Mins,Night Charge,Intl Mins,Intl Charge,CustServ Calls,Churn
448,468.6,0,48.66,448.8,40.98,40.9,4.94,0,0
98,222.2,0,29.29,289.6,8.88,2.8,2.22,2,0
446,489.8,0,84.48,486.0,8.84,4.4,4.0,0,0
322,322.6,0,32.88,288.2,32.89,2.2,2.0,2,0
62,28.0,0,2.68,282.9,6.88,9.8,2.68,2,0
220,222.11,29,22.1111,266.11,2.112,20.6,2.116,0,0
448,448.4,0,44.68,484.8,6.88,40.4,4.89,0,0
322,288.8,0,82.08,328.2,9.82,6.2,2.68,2,0
222,2.6,22,0.22,222.2,20.92,9.2,2.211,11,0
286,208.9,88,82.66,202.2,2.88,20.8,2.82,8,0
466,454.4,0,45.86,498.0,8.94,9.8,4.65,0,0
28,322.0,0,20.32,322.2,20.09,8.8,2.82,2,0
22,282.2,0,82.92,296.0,8.82,9.2,2.26,0,0
32,288.0,0,28.02,320.8,9.29,9.8,2.68,0,0
404,445.9,0,58.4,454.5,44.54,44.4,5.04,4,1
90,233.3,30,32.23,222.2,6.23,2.2,2.03,2,0
92,228.8,82,29.8,228.9,6.28,8.6,2.82,2,0
90,498.8,0,88.48,448.8,40.98,8.0,4.46,4,0
68,222.9,80,20.89,299.8,8.98,9.6,2.89,2,0
4,232.0,0,22.42,240.4,4.22,2.2,2.04,2,0
88,286.8,88,82.26,822.8,22.8,28.0,2.08,0,0
112,222.11,0,116.112,21111.2,22.211,20.2,2.211,0,0
222,224.2,0,22.24,292.9,4.32,22.4,4.04,2,0
32,92.2,0,28.62,329.2,8.82,28.2,8.82,2,0
88,484.9,0,44.84,444.4,9.8,8.4,4.44,4,0
448,404.4,0,88.44,444.0,9.49,9.9,4.64,4,0
9,1111.11,26,211.011,2211.2,20.29,22.11,11.22,2,0
2011,220.2,211,29.02,2611.2,2.26,11.2,2.1111,11,0
222,33.2,0,3.92,232.6,22.32,22.2,3.23,2,0
220,260.11,0,22.29,21111.11,20.112,22.11,11.011,2,0
62,2211.11,26,22.2,222.2,6.611,22.11,11.011,0,0
298,22.2,82,22.2,288.8,2.0,22.2,8.26,0,0
206,298.6,0,82.92,226.2,2.92,22.9,8.28,0,0
203,223.2,0,29.32,236.2,6.22,23.3,3.23,2,1
488,488.9,46,84.46,488.4,8.86,48.0,4.08,4,0
22,62.2,0,22.82,286.8,20.62,22.0,8.22,2,0
222,202.9,42,22.44,234.2,22.44,2.2,2.04,4,0
84,86.0,0,14.62,98.6,4.44,8.9,2.4,1,0
2116,2211.11,0,110.2,269.2,2.62,2.11,2.011,2,0
96,108.6,40,18.46,126.3,5.68,13.4,3.62,0,0
2,296.2,0,88.82,222.8,9.82,2.0,2.89,2,0
222,292.3,0,32.32,232.3,3.2,20.0,2.2,2,0
32,266.2,26,23.32,222.3,9.33,26.3,2.2,2,0
62,228.2,0,22.88,298.6,8.22,20.8,2.28,2,0
202,49.2,0,24.24,220.2,2.34,24.4,4.34,4,0
33,222.2,0,22.02,203.2,2.22,9.3,2.32,2,1
202,244.4,0,23.24,293.4,4.44,22.3,4.24,2,0
98,262.6,0,28.29,280.9,22.29,28.2,8.62,2,0
228,288.8,89,26.28,222.8,8.8,9.2,2.28,2,0
328,268.2,0,28.32,320.0,9.28,8.2,2.88,0,1
99,244.1,31,41.5,234.0,10.53,7.7,2.08,3,0
28,288.2,0,32.98,322.8,20.32,8.2,2.32,2,0
242,222.2,0,22.09,224.4,9.44,4.4,2.44,0,0
22,228.8,0,88.08,228.8,20.02,22.8,8.82,8,0
92,90.0,82,28.8,288.2,8.88,8.6,2.82,2,1
242,224.9,0,20.22,292.4,4.22,24.2,4.43,2,0
242,39.2,0,22.24,243.2,22.44,3.4,2.23,0,0
112,220.0,0,20.11,2119.2,11.112,9.11,2.112,0,1
92,232.0,23,22.23,230.6,3.23,9.2,2.62,0,0
222,232.2,32,20.32,296.2,3.33,20.2,2.23,2,0
202,262.6,0,23.29,223.9,9.22,22.2,3.26,2,0
68,322.9,0,32.32,286.9,32.86,9.2,2.28,0,1
289,282.0,28,89.22,228.0,6.66,8.8,2.22,2,0
208,222.2,0,29.2,268.2,2.82,28.8,2.22,6,1
119,2112.9,0,22.911,292.11,11.119,20.2,2.211,2,0
222,228.8,28,22.9,222.2,6.68,20.8,2.28,2,0
208,229.2,29,80.8,226.2,22.02,20.0,2.2,0,0
88,229.2,0,20.88,286.2,22.88,22.9,8.28,2,0
320,329.9,0,80.88,290.6,8.88,28.8,8.28,2,1
62,262.11,0,211.1111,220.11,2.96,11.2,2.22,2,0
326,328.8,32,29.82,292.8,28.32,6.9,2.86,2,0
42,292.2,0,44.32,222.2,3.49,24.4,4.34,2,0
32,262.3,0,23.22,233.2,3.99,22.0,2.92,2,0
112,2116.6,0,211.22,2011.2,9.22,22.11,11.22,2,1
2211,11211.11,0,1111.2,222.11,9.29,22.11,11.29,2,1
484,449.9,0,89.08,464.4,44.84,44.4,8.88,4,0
229,292.2,0,80.02,298.0,8.28,9.0,2.28,0,1
63,222.3,0,36.02,222.2,9.22,20.2,2.39,3,0
28,282.2,0,89.9,288.2,22.2,8.2,2.22,2,0
289,208.2,0,82.82,292.8,8.9,9.2,2.62,2,0
60,293.9,0,32.96,220.2,9.23,23.2,3.36,3,0
440,98.4,0,46.69,446.4,6.6,9.8,4.84,4,0
404,458.0,44,40.46,455.0,40.49,40.0,4.7,4,0
46,444.4,0,46.86,488.8,40.6,4.4,4.08,0,0
222,224.2,0,20.24,222.0,20.22,24.3,4.32,4,0
42,249.9,0,20.24,202.2,9.42,4.9,2.2,2,0
202,223.2,0,29.62,233.2,3.36,6.0,2.62,3,0
93,224.4,23,29.49,224.0,4.02,22.2,4.0,2,0
82,228.8,0,29.6,282.8,6.86,28.0,2.86,2,0
280,288.9,0,26.8,262.9,22.88,22.2,8.26,8,0
86,40.4,0,44.04,444.6,4.86,0.0,0.0,4,0
82,288.9,22,26.26,222.2,9.8,22.8,8.26,2,0
49,464.9,44,48.84,444.9,9.84,9.4,4.46,4,0
28,298.8,0,88.22,226.2,6.88,22.8,2.0,8,0
88,289.0,0,82.28,228.2,22.26,22.2,2.62,0,0
29,232.2,0,20.22,232.2,3.2,2.3,2.22,0,0
223,22.6,36,23.29,233.2,22.32,20.9,2.92,2,0
222,222.6,0,22.1111,21111.2,22.119,2.2,2.0,2,0
222,220.2,0,28.92,288.8,22.62,22.6,8.28,2,0
222,233.3,0,26.2,202.0,9.32,22.6,3.2,2,0
66,226.2,0,22.89,280.2,20.88,2.8,2.22,2,0
32,223.2,0,33.33,232.2,6.93,22.3,3.29,2,0
90,200.9,0,82.28,229.0,22.22,8.9,2.2,2,0
206,202.0,0,112.611,262.0,2.1111,211.11,11.119,11,1
67,186.2,30,31.65,164.3,7.39,12.9,3.48,2,0
456,499.6,0,55.95,74.4,5.46,44.0,4.97,5,1
230,233.0,0,32.22,232.3,3.23,9.3,2.32,0,0
229,98.0,0,26.66,282.8,22.22,20.8,2.82,0,0
202,222.8,0,29.68,226.2,2.92,8.9,2.89,6,0
